item_id,label,item_type,under_contract,vendor,unit_cost,budget_line,approving_employee,department_use
788937136-5,maecenas ut massa,Monthly,TRUE,Delta Uniform Victor Charlie Romeo X-ray Zulu Kilo Alfa Foxtrot Juliett Yankee Oscar Bravo Quebec Mike India,$249.02 ,43709,31-594-2596,Patient_care
107197240-5,semper,Yearly,TRUE,Bravo Papa Echo Mike X-ray Tango Golf Foxtrot Whiskey Yankee Charlie Uniform Juliett Delta Sierra Romeo Alfa November,$972.22 ,32625,02-744-1389,Maint
988650388-2,neque sapien,Daily,TRUE,Uniform Alfa Charlie Romeo Yankee Victor Mike Hotel Oscar Golf Kilo Tango Sierra Bravo Zulu Lima,$733.43 ,6229,26-207-1008,Admin
761835577-0,et magnis,Seldom,FALSE,Sierra November Oscar Golf Delta Tango Uniform Charlie Juliett Lima Papa India Victor Echo Romeo Hotel,$749.13 ,31239,27-508-8692,Patient_care
834517098-6,viverra,Daily,TRUE,,$178.85 ,77194,09-215-1693,Caretaker
864235147-0,eu,Seldom,TRUE,,$915.97 ,66517,72-000-7821,Caretaker
259616398-5,potenti in,Once,TRUE,Bravo Romeo Whiskey Sierra Victor India Tango Yankee Hotel Papa Zulu Foxtrot Golf Delta X-ray Oscar Alfa,$855.25 ,51492,73-112-8681,Facilities
586125782-5,est lacinia nisi,Once,FALSE,Oscar India Yankee Charlie Victor Echo Alfa November Kilo Golf Lima,$416.75 ,72229,79-738-1260,Patient_care
055827926-0,ultricies,Yearly,TRUE,,$731.12 ,49696,95-409-5169,Maint
267687798-4,massa id,Never,FALSE,Alfa Victor Sierra Bravo Zulu Mike Papa Quebec Charlie Kilo Uniform Echo Romeo Oscar Delta,$336.65 ,95783,72-272-0276,Facilities
931352613-1,praesent blandit,Weekly,FALSE,Oscar Charlie Juliett Mike Papa X-ray Alfa Lima Romeo Echo Uniform,$164.29 ,70955,08-722-3190,Patient_care
713836218-8,leo maecenas pulvinar,Never,FALSE,Quebec November Echo Victor Sierra Juliett Kilo Mike Zulu Alfa X-ray India Tango Oscar Yankee Golf Papa Foxtrot Bravo Uniform,$192.32 ,10599,45-089-1962,Patient_care
448210526-0,etiam faucibus cursus,Once,FALSE,Whiskey Uniform Papa Echo Yankee Oscar Quebec Sierra Juliett Delta Tango Zulu Golf November Romeo Kilo,$314.00 ,73943,97-809-4312,Patient_services
545600285-X,hac,Weekly,FALSE,Uniform Tango Hotel Juliett Sierra Charlie Oscar Papa Foxtrot Bravo November Mike Alfa Golf India Delta X-ray Victor,$758.46 ,90644,46-753-4890,Accounting
923437154-2,curae donec,Once,FALSE,Charlie Golf Tango Delta Mike Yankee Sierra Uniform Hotel Whiskey Bravo,$19.96 ,51141,65-452-3073,Facilities
641420613-X,suscipit ligula,Once,TRUE,Yankee November Bravo Echo Juliett Alfa Delta Uniform Tango Victor Zulu Mike Romeo Quebec Oscar X-ray India Foxtrot Sierra Charlie,$240.39 ,74124,47-128-3318,Accounting
182499882-1,luctus cum,Monthly,FALSE,Charlie Bravo Whiskey Quebec November Delta Mike Sierra Papa Tango Yankee Lima India Foxtrot Romeo Zulu Golf Hotel Alfa Juliett,$5.71 ,58124,54-718-1650,Patient_services
240245207-2,dolor,Weekly,TRUE,Victor Tango November Bravo Lima Papa India Echo Mike Sierra Alfa Golf,$583.09 ,69226,45-251-0057,Admin
264817667-5,praesent,Often,FALSE,,$721.54 ,56877,76-157-0729,Patient_services
708804219-3,eu,Monthly,FALSE,,$40.55 ,56836,74-364-3015,Facilities
057086878-5,consequat ut,Weekly,FALSE,Sierra Whiskey India Zulu Tango Foxtrot Victor Juliett X-ray Quebec Kilo Papa Oscar Yankee Mike Alfa Hotel Charlie Golf,$718.58 ,55676,82-783-9133,Admin
081765485-2,volutpat sapien arcu,Weekly,FALSE,Victor Bravo Juliett Papa Delta Charlie Whiskey Oscar Sierra Hotel Romeo Alfa Yankee X-ray Kilo Echo India,$22.12 ,95738,05-026-0587,Caretaker
896593964-X,eu felis,Weekly,TRUE,November Sierra Tango Whiskey Romeo Juliett Mike Uniform Alfa Foxtrot Echo Lima Yankee Victor Kilo Hotel India Golf Charlie,$598.86 ,99090,90-845-3834,Custodial
263885149-3,mattis,Weekly,TRUE,,$594.87 ,22975,33-302-2416,Facilities
599269160-X,nisl aenean lectus,Never,TRUE,,$215.74 ,4716,77-508-1539,Facilities
489490925-1,venenatis lacinia aenean,Daily,TRUE,Uniform Whiskey India November Romeo Victor Foxtrot Delta Charlie Oscar Alfa Sierra Zulu,$36.38 ,33803,82-451-3360,Maint
191395651-2,vitae,Never,TRUE,Tango Papa Delta November India Zulu Sierra Bravo Victor Echo Kilo,$989.61 ,32455,88-228-2101,Admin
354314837-0,ut,Yearly,TRUE,Kilo Papa Alfa Tango Sierra Whiskey Juliett Bravo Oscar X-ray Uniform Victor Zulu Echo November Mike Golf Charlie Quebec Lima,$557.38 ,7737,01-589-7089,Maint
065878317-3,tellus,Seldom,FALSE,Alfa X-ray Foxtrot Bravo Kilo Romeo Tango Oscar Sierra Quebec Victor Charlie Papa,$6.14 ,60856,67-117-9088,Patient_services
650519742-7,maecenas,Yearly,TRUE,Sierra Yankee Hotel Lima India Delta Kilo Tango Charlie Quebec Mike Whiskey Papa November Victor Zulu,$211.85 ,39610,11-783-8738,Accounting
921112848-X,consequat,Weekly,TRUE,Delta Echo Tango Hotel November Romeo X-ray Alfa Juliett Yankee Uniform,$876.35 ,258,63-788-5698,Custodial
188010312-5,in est risus,Weekly,FALSE,,$849.18 ,95731,34-113-3235,Patient_care
353435916-X,curae mauris,Once,FALSE,,$796.11 ,43286,18-644-7348,Maint
493731093-3,sapien varius ut,Monthly,TRUE,Delta Juliett Sierra Oscar Papa Lima November Charlie Uniform India Zulu Tango Alfa,$171.74 ,45047,99-103-0196,Caretaker
826079535-3,aliquet,Daily,TRUE,,$47.74 ,9718,44-717-1372,Patient_care
206452404-5,sed justo,Weekly,TRUE,Uniform Juliett X-ray Echo Tango Charlie Hotel Romeo Mike Alfa Papa Yankee Whiskey November Bravo India Sierra Zulu,$545.46 ,7037,98-207-9347,Patient_care
611325634-0,rhoncus,Yearly,TRUE,Kilo Alfa Delta Charlie November Lima Yankee Uniform X-ray Tango Oscar Quebec Victor Bravo Whiskey,$343.31 ,46658,78-886-2063,Maint
050449622-0,interdum in,Seldom,FALSE,Uniform Delta November X-ray India Foxtrot Zulu Echo Yankee Oscar Golf Kilo Whiskey Juliett Charlie Quebec Bravo,$441.81 ,94098,15-953-3475,Accounting
161085034-3,tellus,Once,FALSE,,$362.76 ,70753,78-383-5228,Patient_services
608502419-3,vivamus in,Weekly,TRUE,Sierra Delta X-ray Whiskey Yankee Charlie Echo Uniform Kilo Papa Hotel Mike Juliett Zulu Romeo Golf Lima November,$191.86 ,48999,65-007-3236,Admin
405879156-X,vel accumsan,Never,FALSE,Charlie Lima Oscar Uniform Whiskey November Delta Hotel Papa Zulu Sierra Kilo Juliett X-ray Echo Mike Quebec India,$59.31 ,77796,35-037-7417,Custodial
355411805-2,orci,Never,TRUE,Papa Alfa Yankee Kilo November Juliett X-ray Echo Zulu Golf Delta Quebec Romeo Foxtrot Hotel Lima,$719.07 ,34725,25-700-2710,Patient_services
578846732-2,tellus nisi eu,Often,FALSE,Golf Lima November Yankee Tango Oscar Charlie Kilo Zulu Juliett Quebec Foxtrot,$485.43 ,55202,37-270-4420,Admin
537746938-0,aenean,Once,FALSE,,$59.07 ,13405,10-255-6344,Maint
594306757-4,ac neque,Daily,TRUE,,$637.73 ,25940,37-817-4815,Facilities
336826125-8,molestie,Once,TRUE,Uniform Foxtrot Sierra Tango X-ray Juliett Victor Zulu November Kilo Papa,$951.50 ,92203,35-251-7070,Facilities
572728655-7,blandit ultrices enim,Often,TRUE,Golf Romeo Hotel Tango November Papa Kilo Juliett Echo Oscar Charlie Yankee,$239.48 ,50875,92-073-1689,Patient_services
644807566-6,ultrices aliquet maecenas,Never,TRUE,Kilo November Whiskey Golf Tango Delta Uniform Foxtrot Hotel Echo Bravo Sierra Yankee Alfa Mike Juliett Romeo Victor Charlie,$337.79 ,34140,98-817-3389,Accounting
455721839-3,habitasse,Never,TRUE,,$42.94 ,67449,99-469-9532,Maint
505008596-9,maecenas ut,Yearly,FALSE,,$367.56 ,20764,19-242-8203,Accounting
672531943-2,nec condimentum neque,Daily,TRUE,,$116.51 ,84762,69-067-4360,Patient_care
399540679-3,nullam varius nulla,Never,TRUE,Lima Tango Romeo Uniform Hotel Golf Foxtrot Whiskey Delta Oscar Yankee Bravo Kilo Echo November India Zulu,$665.42 ,4986,80-641-3090,Patient_services
434531371-6,aliquet maecenas leo,Weekly,FALSE,,$174.19 ,91368,05-733-4550,Patient_services
934981109-X,blandit ultrices,Weekly,FALSE,Juliett Zulu Golf Papa Hotel November Romeo Kilo Yankee Alfa,$564.97 ,83745,25-626-0124,Admin
713647768-9,venenatis turpis,Daily,FALSE,,$174.97 ,83627,09-765-3174,Caretaker
480701857-4,congue etiam,Often,TRUE,,$396.67 ,91115,72-273-3457,Accounting
018962593-7,sollicitudin mi,Seldom,FALSE,,$153.65 ,78407,03-855-0755,Patient_services
146845965-1,non quam,Seldom,TRUE,Hotel Echo Whiskey Quebec X-ray Alfa Golf Papa Romeo Bravo,$899.75 ,7057,31-584-3462,Patient_services
725026630-6,sapien in sapien,Weekly,TRUE,,$319.61 ,5226,88-961-2059,Admin
174551173-3,libero nullam sit,Daily,FALSE,,$901.16 ,81415,83-254-8388,Custodial
059141333-7,curae donec,Seldom,TRUE,,$454.53 ,53584,42-958-8898,Admin
288833190-X,risus dapibus,Yearly,FALSE,,$605.01 ,92544,22-820-4610,Caretaker
857508322-8,id lobortis convallis,Daily,FALSE,,$689.30 ,64967,70-463-1397,Facilities
317545948-X,nec euismod scelerisque,Once,TRUE,,$866.19 ,6382,26-606-1404,Caretaker
072435682-7,sagittis nam congue,Daily,TRUE,,$249.56 ,11881,81-352-3955,Admin
645057789-4,nec,Daily,TRUE,,$892.40 ,11001,66-480-1617,Admin
671086801-X,sapien urna,Once,TRUE,India Golf Quebec Lima Delta Yankee Juliett Zulu Mike November Tango Uniform Sierra Foxtrot Hotel X-ray Bravo Papa,$982.78 ,45149,40-594-4818,Patient_services
157774342-3,ac nulla,Once,TRUE,Yankee Papa Echo Tango Sierra Oscar Quebec Juliett Hotel Foxtrot Bravo Alfa Romeo Uniform,$487.09 ,36468,54-127-1888,Admin
177904848-3,ullamcorper purus sit,Seldom,FALSE,Uniform Tango X-ray Yankee Romeo Golf Bravo Kilo November Foxtrot Quebec,$918.52 ,34501,68-511-1763,Caretaker
170450962-9,hac habitasse,Never,FALSE,Golf Juliett Echo Uniform Bravo Charlie Quebec Hotel Lima Papa Zulu Kilo Oscar Delta,$827.29 ,29199,20-635-5371,Accounting
474180827-0,pretium iaculis,Weekly,TRUE,Alfa Foxtrot Golf Oscar Quebec Uniform X-ray Zulu Papa Kilo Hotel Whiskey India,$911.47 ,57234,18-549-2461,Patient_care
477364747-7,quisque ut erat,Often,FALSE,Whiskey Hotel Papa Alfa Sierra Golf Foxtrot Zulu Echo Oscar,$553.23 ,3945,42-339-4563,Accounting
507131176-3,lacinia sapien,Weekly,FALSE,India Hotel Uniform Whiskey Charlie November Foxtrot Juliett Papa Lima Echo Yankee Bravo Romeo Victor Kilo,$424.11 ,85690,33-849-6186,Maint
874343573-4,aliquam,Weekly,TRUE,Delta Yankee Sierra Whiskey Lima Foxtrot Romeo X-ray Golf Echo Bravo Tango Quebec November Oscar,$201.38 ,33844,08-253-5817,Patient_care
599946309-2,lorem integer tincidunt,Seldom,FALSE,Mike Oscar Delta November Foxtrot Uniform Bravo Hotel Tango Lima,$768.28 ,53459,42-491-8148,Maint
998435801-1,blandit nam nulla,Often,FALSE,,$390.30 ,97347,39-643-4879,Admin
631882387-5,fermentum,Daily,FALSE,Romeo Lima Charlie Foxtrot Delta Uniform November Alfa Juliett Victor Kilo,$862.75 ,72135,30-817-4089,Patient_care
223354480-3,tempus vivamus in,Monthly,FALSE,Kilo Bravo Tango Yankee Papa Lima X-ray Uniform Alfa Victor India Romeo,$552.07 ,16399,27-166-1317,Maint
085121323-5,at turpis,Monthly,FALSE,,$780.08 ,56495,48-391-4136,Maint
049497755-8,interdum venenatis turpis,Often,FALSE,Tango Echo Mike Whiskey Oscar Hotel Victor Charlie Alfa Golf Zulu November Uniform Romeo India X-ray Delta Lima,$452.62 ,63755,07-905-3060,Facilities
561662848-4,eget,Monthly,FALSE,Uniform India Delta Tango Foxtrot Charlie Mike Golf Juliett Kilo X-ray Quebec Romeo Zulu Yankee Papa Bravo Lima,$279.95 ,56709,82-906-3231,Admin
376046568-4,neque,Weekly,FALSE,,$778.02 ,24583,13-483-2424,Maint
382374683-9,vulputate ut ultrices,Once,FALSE,,$501.90 ,54919,50-154-2555,Custodial
134258161-X,feugiat non pretium,Often,TRUE,Sierra India Uniform Romeo Bravo X-ray Charlie Lima Echo Tango Yankee Alfa Mike Golf Hotel Victor Whiskey Papa,$565.53 ,46951,53-903-9731,Caretaker
335299820-5,commodo placerat,Monthly,TRUE,,$902.55 ,98644,77-444-9930,Patient_care
904174961-6,ac,Often,FALSE,Whiskey Yankee Kilo November Charlie Quebec Hotel Golf Lima India,$15.70 ,39056,41-816-4248,Facilities
230896303-4,justo,Once,FALSE,Kilo Sierra Romeo Papa Alfa Charlie Juliett Bravo X-ray India Oscar November Victor Delta Hotel Whiskey Yankee Uniform Foxtrot,$792.70 ,20986,40-135-2022,Patient_care
233849850-X,dui,Monthly,TRUE,Uniform Kilo Quebec Oscar Charlie Alfa Delta India Echo X-ray Tango Zulu Foxtrot Yankee Romeo Victor Juliett Golf,$830.70 ,39261,12-650-9906,Admin
660443584-9,elit,Once,TRUE,Alfa Echo Charlie Foxtrot Whiskey Golf Mike Yankee November Lima Papa Zulu Quebec Delta,$733.30 ,45099,78-034-1250,Caretaker
054497587-1,nec euismod,Seldom,TRUE,Kilo Victor Tango Romeo Golf India Zulu Alfa Uniform Quebec Yankee Sierra November Bravo Echo Juliett Delta Whiskey Charlie,$454.37 ,26543,87-619-1751,Maint
909971948-5,cubilia,Never,FALSE,,$205.98 ,60826,73-844-9401,Accounting
134371498-2,ultrices posuere cubilia,Yearly,TRUE,,$222.35 ,91677,32-559-2403,Maint
490721671-8,ultrices posuere,Never,TRUE,Romeo Quebec Mike Sierra Hotel India Yankee Uniform Juliett Delta November Oscar Foxtrot Alfa Zulu Echo Kilo Bravo Lima,$440.77 ,873,68-642-0506,Patient_services
540798595-0,habitasse,Often,FALSE,,$340.16 ,18072,61-014-5566,Facilities
994880191-1,ipsum,Yearly,FALSE,,$732.31 ,28439,27-132-3243,Patient_services
511071256-5,quis turpis eget,Daily,FALSE,Kilo India Papa Hotel Juliett Echo Delta Lima Yankee Uniform Sierra X-ray Whiskey Bravo November,$641.54 ,31558,15-780-2712,Accounting
245160559-6,in faucibus,Once,FALSE,Romeo Mike Papa Uniform X-ray Zulu Delta Charlie Tango Lima Quebec Oscar Echo Bravo Kilo Alfa Golf Hotel,$469.04 ,78919,37-739-6835,Patient_services
709176931-7,molestie nibh in,Yearly,TRUE,Romeo Papa Bravo Delta Zulu Tango Victor India Kilo Juliett Lima Alfa Echo Yankee November Charlie Uniform Mike Foxtrot Oscar,$313.13 ,47254,50-494-0077,Custodial
481299560-4,nibh,Seldom,FALSE,,$850.69 ,39816,71-372-0359,Caretaker
233416625-1,eu felis,Daily,TRUE,Kilo Alfa X-ray Charlie Victor Delta Echo Uniform Yankee Bravo Juliett Papa Mike Sierra Golf,$551.29 ,39513,50-627-9998,Facilities
150457481-8,id,Seldom,FALSE,Sierra Hotel Foxtrot X-ray November Romeo Echo Bravo Whiskey Golf Alfa Quebec Kilo Uniform Victor Lima,$966.45 ,17660,44-568-4902,Accounting
060918713-9,ultrices enim,Weekly,FALSE,,$794.82 ,42145,71-013-7860,Facilities
354495344-7,nec,Daily,TRUE,,$988.75 ,8293,37-066-3461,Maint
283630931-8,leo rhoncus sed,Yearly,TRUE,Alfa Uniform Yankee Sierra Zulu Kilo Juliett Oscar Tango Golf Quebec Bravo,$938.51 ,90284,41-448-2939,Custodial
768729101-8,cursus urna,Monthly,FALSE,Golf Lima Papa Delta Quebec Echo India Mike Zulu Foxtrot Victor Tango Whiskey Hotel Yankee November X-ray,$166.38 ,69400,87-387-7133,Admin
653344431-X,lacinia,Monthly,FALSE,Alfa Delta Echo Zulu Yankee Kilo Mike Juliett Bravo X-ray Uniform Golf Sierra Charlie Hotel,$969.22 ,15774,87-080-0455,Custodial
295398906-4,condimentum curabitur in,Monthly,TRUE,,$520.22 ,62334,51-311-6692,Patient_care
476498076-2,donec ut,Once,FALSE,,$886.51 ,21188,03-309-8784,Patient_care
721284256-7,vel dapibus at,Seldom,FALSE,,$277.31 ,61987,24-574-4492,Admin
874152497-7,ut erat curabitur,Often,FALSE,,$475.13 ,44056,67-970-4431,Custodial
543837264-0,integer tincidunt,Never,FALSE,Romeo Lima Juliett Kilo Hotel X-ray Alfa November Bravo Victor Oscar Zulu Mike India Golf Delta Sierra Echo Foxtrot,$565.87 ,44770,47-544-4230,Accounting
270405284-0,vestibulum,Seldom,FALSE,,$702.24 ,87238,14-707-0772,Maint
533464056-8,at nunc commodo,Weekly,TRUE,,$315.95 ,65035,37-454-6094,Admin
087119706-5,elementum,Often,TRUE,,$641.53 ,45162,69-759-1167,Patient_care
272223797-0,proin eu mi,Daily,FALSE,Echo Romeo Golf Papa Tango X-ray Uniform Oscar Alfa Foxtrot Yankee Lima Kilo November Victor Delta India Charlie,$498.15 ,92075,91-587-7738,Accounting
487816449-2,pulvinar sed,Never,TRUE,Alfa Foxtrot Quebec Papa Echo Delta Hotel Lima Bravo Kilo Romeo Zulu Golf,$107.73 ,74886,12-873-3281,Patient_care
085447798-5,velit,Yearly,FALSE,,$185.35 ,77755,68-162-4860,Facilities
872658088-8,luctus,Monthly,TRUE,Whiskey Victor Quebec Golf Juliett Papa Sierra Oscar Kilo Lima Alfa Echo Mike Zulu India Yankee,$334.71 ,80247,65-050-6690,Patient_care
225426530-X,ultrices libero non,Monthly,TRUE,,$704.80 ,45724,87-119-3662,Caretaker
527962520-5,ligula,Monthly,TRUE,,$317.98 ,16579,94-155-4279,Admin
272521761-X,morbi vestibulum velit,Monthly,TRUE,Mike Foxtrot Victor Alfa Sierra Yankee Hotel Golf November Echo Quebec X-ray Uniform Oscar Juliett Papa Whiskey Bravo Zulu Tango,$223.23 ,6567,37-062-4509,Maint
630597737-2,gravida,Yearly,FALSE,,$647.69 ,30623,19-956-5976,Caretaker
103626598-6,condimentum curabitur,Yearly,FALSE,Hotel November Tango Lima Uniform Bravo Mike X-ray Victor Yankee Juliett Foxtrot India,$537.68 ,5475,69-230-1484,Patient_care
243818611-9,nec,Often,TRUE,November X-ray Papa Golf Tango Quebec Yankee Delta Foxtrot Oscar Lima Mike Charlie Echo Kilo Juliett,$417.74 ,6651,03-758-1329,Custodial
323421621-5,turpis nec,Once,FALSE,,$367.88 ,89510,10-893-6508,Patient_care
887298218-9,lorem,Weekly,TRUE,Romeo Oscar Whiskey Hotel India Golf Tango Victor Zulu Papa Juliett Delta Uniform Quebec,$46.35 ,89643,63-083-7695,Caretaker
277396655-4,in,Never,TRUE,Kilo Golf Echo Bravo Quebec Foxtrot India Oscar Hotel Uniform Zulu Charlie Sierra Lima Mike Tango Romeo,$102.50 ,28095,20-890-9124,Maint
758010842-9,convallis,Often,TRUE,Echo Whiskey Tango Yankee X-ray Lima India Sierra Hotel Zulu Papa Romeo Victor Golf Kilo Bravo Foxtrot Oscar,$456.17 ,18358,96-387-5494,Custodial
662128309-1,risus,Daily,TRUE,Oscar Victor Mike Quebec Alfa Charlie Echo X-ray Bravo Romeo Tango Lima November Sierra Delta,$984.98 ,58436,31-937-1341,Accounting
112224381-2,duis,Weekly,TRUE,Papa Uniform Golf Lima Foxtrot Yankee Delta Victor Hotel Alfa Whiskey Echo Charlie Romeo Oscar,$557.41 ,50460,74-139-6912,Accounting
272084234-6,eu interdum,Daily,FALSE,Hotel Papa Zulu November Victor Mike Golf Foxtrot Oscar Sierra Yankee Delta Echo Romeo Juliett Quebec Uniform X-ray Charlie,$645.12 ,98386,40-890-6186,Accounting
328401492-6,posuere felis,Yearly,TRUE,Oscar Hotel Echo India Delta Sierra Kilo Juliett Golf Lima Alfa Yankee Papa,$888.19 ,91184,41-432-3459,Patient_services
131146775-0,vel,Weekly,FALSE,,$210.19 ,15337,72-826-7024,Custodial
403904915-2,turpis elementum,Yearly,FALSE,Romeo Whiskey Charlie Hotel Delta November X-ray Foxtrot India Yankee Juliett Tango Papa Sierra Golf Quebec Alfa Echo Victor,$339.00 ,42776,19-431-5721,Patient_care
293660556-3,pretium,Once,FALSE,,$100.98 ,54954,40-479-2395,Caretaker
590761457-9,sit amet,Often,TRUE,,$640.24 ,48983,57-327-0246,Facilities
293567388-3,eget semper,Never,FALSE,Papa X-ray Quebec Charlie Uniform Hotel Tango Victor Juliett Alfa November Delta Kilo Zulu Yankee Foxtrot Whiskey,$884.08 ,29846,13-398-2077,Facilities
409382300-6,faucibus orci,Yearly,FALSE,Tango Victor Zulu Oscar Lima X-ray Sierra Romeo Charlie Alfa Whiskey,$35.10 ,5309,73-951-3261,Accounting
965391608-4,sit amet,Never,TRUE,Yankee Golf Foxtrot Romeo Sierra Victor Kilo Charlie Bravo Oscar Zulu November X-ray Tango Papa Uniform Mike Delta India Echo,$661.63 ,56997,34-697-1852,Maint
682833347-0,eget tempus vel,Daily,FALSE,Romeo Golf Alfa Bravo Hotel Delta Victor November Kilo Uniform Oscar,$641.36 ,30593,46-945-2518,Facilities
719856763-0,nonummy integer,Never,TRUE,,$43.66 ,65188,98-533-2841,Patient_care
192850129-X,aliquam,Monthly,FALSE,Yankee November Papa Echo Golf Hotel Lima Zulu Oscar India Tango Juliett Charlie Alfa Victor Delta Whiskey X-ray Kilo Romeo,$589.55 ,32397,54-701-2832,Facilities
320062676-3,sed,Daily,TRUE,Mike Charlie Sierra Echo November Uniform Alfa X-ray Yankee Foxtrot Bravo Whiskey Tango Quebec Romeo,$29.98 ,72221,67-029-5205,Patient_care
140458482-X,diam in,Weekly,FALSE,India Echo Whiskey Juliett Charlie Hotel Zulu November Yankee Oscar Lima Alfa Delta Golf Kilo Foxtrot Papa,$321.44 ,62692,42-544-5876,Custodial
479827243-4,erat vestibulum,Yearly,FALSE,,$3.10 ,61486,99-341-1304,Admin
108755428-4,venenatis tristique fusce,Never,FALSE,,$951.24 ,1028,56-113-8855,Admin
377569440-4,odio odio elementum,Monthly,FALSE,,$447.57 ,57488,16-242-0347,Accounting
580132066-0,est,Often,FALSE,Golf Hotel Echo Oscar Foxtrot India Bravo Papa Quebec Victor Kilo Charlie Delta Whiskey,$612.69 ,14457,37-226-4254,Patient_services
397423133-1,in hac habitasse,Never,TRUE,Sierra Victor Kilo Echo Foxtrot Bravo Juliett X-ray Papa Whiskey Tango Quebec November Romeo,$261.58 ,51748,22-502-6607,Custodial
834793450-9,aliquet pulvinar,Often,TRUE,Foxtrot Yankee Juliett Sierra X-ray Bravo Kilo Lima Victor Delta Uniform,$551.55 ,46751,83-497-7152,Facilities
538926452-5,ut,Often,TRUE,Golf Juliett X-ray Foxtrot Kilo Charlie Romeo Sierra Echo November Papa Lima Hotel Delta India Uniform Zulu Oscar Mike,$166.94 ,66301,43-583-3745,Patient_care
401587511-7,fermentum,Weekly,FALSE,,$90.57 ,391,12-080-9335,Accounting
689183846-0,nisi,Never,FALSE,Quebec X-ray Yankee Bravo Whiskey November Victor Charlie Uniform Alfa Golf,$803.00 ,47145,88-758-4326,Accounting
379479905-4,sit amet,Often,TRUE,Uniform Alfa Hotel Victor Delta Foxtrot Charlie Quebec Mike Whiskey Sierra Kilo Tango Juliett Zulu Bravo,$971.01 ,5402,09-597-3159,Admin
964317833-1,lobortis convallis,Once,TRUE,Yankee Hotel Whiskey Kilo Delta Romeo Foxtrot Lima Alfa Oscar Victor Zulu Echo Uniform Sierra Juliett,$951.76 ,49940,01-487-5010,Custodial
931039431-5,a pede,Yearly,TRUE,Juliett Echo Victor Charlie Foxtrot Bravo Zulu Kilo Alfa Quebec X-ray November India Whiskey Yankee Lima Golf Sierra,$994.57 ,23602,76-130-6987,Patient_care
408071727-X,aliquet,Once,TRUE,X-ray Charlie Juliett Foxtrot Whiskey Sierra Uniform India Bravo Quebec Lima Hotel Alfa Yankee November Papa Delta,$12.95 ,34922,44-369-1332,Patient_care
820235756-X,at ipsum ac,Often,TRUE,Tango Foxtrot Whiskey Victor Lima Papa Uniform X-ray Quebec November Delta Hotel Romeo Kilo Yankee Echo Juliett Oscar,$57.95 ,79297,87-947-8369,Admin
892321268-7,bibendum,Often,FALSE,,$659.24 ,40068,42-176-0215,Patient_services
430791910-6,non,Weekly,FALSE,,$194.19 ,42612,16-392-6849,Caretaker
635250077-3,nunc,Weekly,TRUE,,$601.67 ,1907,59-431-7208,Patient_care
133925096-9,posuere nonummy integer,Weekly,FALSE,Sierra Mike Golf India X-ray Echo Zulu Charlie Juliett Whiskey Lima,$900.75 ,33677,78-397-9521,Admin
734116746-7,nulla justo,Never,FALSE,,$822.64 ,92313,08-521-7834,Admin
801831358-X,lectus,Often,TRUE,Romeo Quebec November Delta Uniform Hotel Victor Sierra Papa Oscar India Juliett Yankee Echo Bravo Charlie Mike Foxtrot Kilo,$696.78 ,86320,44-119-8088,Caretaker
096877092-4,in,Never,TRUE,Kilo Juliett Charlie Oscar Victor Mike Uniform Golf Foxtrot Yankee X-ray Tango Quebec Lima Bravo Sierra,$476.90 ,77028,45-289-7698,Custodial
829932997-3,ac nulla sed,Once,FALSE,Tango Alfa Charlie Bravo X-ray Golf Delta Yankee Mike Victor Quebec Papa Foxtrot Sierra Zulu Echo Romeo Oscar Uniform,$65.88 ,35430,87-971-0249,Accounting
510497223-2,maecenas tincidunt,Yearly,FALSE,Kilo Whiskey Quebec November Delta Yankee Golf India Uniform Juliett Victor,$234.55 ,78873,68-992-8123,Patient_services
893983445-3,magna vestibulum,Never,TRUE,,$544.57 ,66190,72-242-9904,Patient_services
855139970-5,nisl,Yearly,FALSE,Tango Delta X-ray Alfa Oscar Bravo Yankee Quebec Foxtrot Victor,$625.98 ,19954,99-696-2388,Accounting
476884687-4,nunc,Yearly,FALSE,November Juliett Golf Victor Yankee Whiskey Bravo Quebec Sierra Zulu Mike Tango Foxtrot Alfa,$139.61 ,85824,74-674-1557,Accounting
448477818-1,scelerisque mauris,Once,TRUE,,$204.58 ,85560,84-128-4471,Facilities
714608000-5,risus,Weekly,TRUE,Foxtrot Delta Uniform Kilo Lima Victor Sierra Echo Charlie India November Whiskey Papa Alfa Yankee,$907.88 ,4297,81-065-7184,Accounting
041061657-5,in,Weekly,FALSE,,$218.32 ,95984,08-542-6198,Custodial
894562959-9,turpis,Yearly,TRUE,,$97.59 ,98060,65-611-5279,Admin
870380021-0,curae mauris viverra,Never,TRUE,Mike November Oscar Victor Alfa Juliett Quebec Delta Uniform Sierra,$381.61 ,47384,95-856-1162,Caretaker
507049129-6,dictumst,Monthly,TRUE,Romeo Oscar Kilo Quebec Foxtrot Uniform India Zulu Golf Lima Hotel Yankee Sierra Bravo Alfa Mike November Echo,$531.82 ,81706,91-487-6524,Facilities
501001070-4,amet turpis,Daily,FALSE,Mike Golf Zulu Sierra Alfa India Juliett Quebec Romeo Hotel Victor Kilo,$847.48 ,7171,04-099-1112,Facilities
179708294-9,sed,Never,TRUE,,$267.10 ,52537,41-280-2332,Accounting
